# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
10000 2496
1 3.10819 -0.107043 0
2 6.88988 -0.082605 0
3 10.611 0.0929112 0
4 14.3225 0.160461 0
5 18.0103 0.220199 0
6 21.7146 0.249821 0
7 25.3641 0.374605 0
8 29.1183 0.452994 0
9 32.8097 0.49324 0
10 36.4689 0.54806 0
11 40.0989 0.59021 0
12 43.8271 0.727345 0
13 47.5338 0.729424 0
14 51.246 0.746335 0
15 54.9261 0.867698 0
16 58.6812 0.922182 0
17 62.4734 1.05063 0
18 66.199 1.08262 0
19 69.8268 1.16211 0
20 73.5115 1.19543 0
21 77.2164 1.16516 0
22 80.8886 1.25461 0
23 84.5912 1.36143 0
24 88.3348 1.44347 0
25 92.0076 1.52248 0
26 95.6611 1.64946 0
27 99.4346 1.64735 0
28 103.098 1.66729 0
29 106.786 1.79681 0
30 110.553 1.76988 0
31 114.218 1.83836 0
32 117.928 1.94315 0
33 121.728 2.0095 0
34 125.394 2.07913 0
35 129.091 2.07096 0
36 132.794 2.16706 0
37 136.513 2.25308 0
38 140.24 2.44264 0
39 143.969 2.4366 0
40 147.596 2.41506 0
41 151.304 2.50389 0
42 154.931 2.64471 0
43 158.714 2.68202 0
44 162.43 2.73694 0
45 166.152 2.81945 0
46 169.883 2.84101 0
47 173.601 3.02327 0
48 177.255 3.04101 0
49 1.26594 3.07807 0
50 4.88183 3.11659 0
51 8.6355 3.1807 0
52 12.3107 3.27197 0
53 16.049 3.36513 0
54 19.8053 3.41294 0
55 23.415 3.51454 0
56 27.1757 3.59259 0
57 30.8578 3.69862 0
58 34.6021 3.70435 0
59 38.2573 3.74041 0
60 41.9568 3.8862 0
61 45.6173 3.96301 0
62 49.3183 3.93767 0
63 53.0123 4.005 0
64 56.7394 4.13073 0
65 60.4881 4.19288 0
66 64.1955 4.25182 0
67 67.8958 4.32389 0
68 71.5679 4.45885 0
69 75.2702 4.50576 0
70 79.0113 4.40569 0
71 82.6704 4.53595 0
72 86.3542 4.61748 0
73 90.1063 4.75492 0
74 93.8579 4.75128 0
75 97.4952 4.82391 0
76 101.197 4.90137 0
77 104.897 4.90942 0
78 108.731 4.95793 0
79 112.276 4.96272 0
80 116.013 5.04233 0
81 119.732 5.17495 0
82 123.459 5.29584 0
83 127.181 5.2716 0
84 130.867 5.32246 0
85 134.548 5.40953 0
86 138.256 5.51226 0
87 141.99 5.61192 0
88 145.718 5.70668 0
89 149.374 5.75023 0
90 153.022 5.79994 0
91 156.803 5.85429 0
92 160.517 5.91624 0
93 164.186 5.98475 0
94 167.945 6.05571 0
95 171.628 6.15647 0
96 175.404 6.25426 0
97 -0.602627 6.22659 0
98 3.03323 6.28626 0
99 6.68591 6.30429 0
100 10.3871 6.46637 0
101 14.056 6.46281 0
102 17.7656 6.61647 0
103 21.4712 6.70659 0
104 25.1856 6.80162 0
105 28.9214 6.85312 0
106 32.6107 6.97664 0
107 36.3055 6.98459 0
108 40.0298 7.05316 0
109 43.7027 7.13338 0
110 47.4048 7.2004 0
111 51.1382 7.17288 0
112 54.8665 7.27663 0
113 58.5873 7.35541 0
114 62.2026 7.3776 0
115 65.968 7.44949 0
116 69.6153 7.56306 0
117 73.2987 7.67973 0
118 77.0965 7.70138 0
119 80.7625 7.68794 0
120 84.4505 7.77259 0
121 88.1525 7.83264 0
122 91.887 7.95939 0
123 95.6284 7.98148 0
124 99.309 8.02886 0
125 103.008 8.07627 0
126 106.682 8.16017 0
127 110.389 8.29638 0
128 114.111 8.26436 0
129 117.823 8.32777 0
130 121.496 8.40136 0
131 125.215 8.56211 0
132 128.912 8.52984 0
133 132.616 8.5959 0
134 136.359 8.71861 0
135 140.056 8.76612 0
136 143.738 8.76147 0
137 147.498 8.94327 0
138 151.126 8.98368 0
139 154.868 9.0516 0
140 158.623 9.14917 0
141 162.27 9.19 0
142 165.974 9.20281 0
143 169.711 9.35741 0
144 173.436 9.40988 0
145 -2.53392 9.42048 0
146 1.07549 9.47961 0
147 4.74129 9.48516 0
148 8.42219 9.60109 0
149 12.1423 9.64116 0
150 15.8855 9.72667 0
151 19.5171 9.89324 0
152 23.2719 9.94296 0
153 27.0004 10.0766 0
154 30.6968 10.1154 0
155 34.3798 10.151 0
156 38.0535 10.2559 0
157 41.7728 10.3287 0
158 45.4059 10.4073 0
159 49.1541 10.4511 0
160 52.8336 10.5478 0
161 56.6462 10.6033 0
162 60.3205 10.5965 0
163 64.0829 10.6583 0
164 67.7355 10.7436 0
165 71.3932 10.8145 0
166 75.1095 10.8887 0
167 78.8978 10.9043 0
168 82.5606 11.0037 0
169 86.2337 10.9833 0
170 89.9443 11.1067 0
171 93.6413 11.1627 0
172 97.4141 11.1917 0
173 101.128 11.2698 0
174 104.816 11.3383 0
175 108.483 11.4186 0
176 112.203 11.4332 0
177 115.893 11.5441 0
178 119.586 11.5611 0
179 123.247 11.6519 0
180 127.042 11.7019 0
181 130.716 11.7702 0
182 134.394 11.8941 0
183 138.099 11.989 0
184 141.877 11.9476 0
185 145.606 12.095 0
186 149.292 12.1956 0
187 152.934 12.2876 0
188 156.619 12.2946 0
189 160.357 12.417 0
190 164.053 12.476 0
191 167.761 12.5616 0
192 171.51 12.6123 0
193 -4.44142 12.6806 0
194 -0.796871 12.7056 0
195 2.82589 12.7324 0
196 6.47411 12.7925 0
197 10.1959 12.8746 0
198 13.873 12.9568 0
199 17.5697 13.0468 0
200 21.2214 13.1162 0
201 25.0386 13.2503 0
202 28.7449 13.322 0
203 32.4895 13.3602 0
204 36.1782 13.4749 0
205 39.8353 13.5001 0
206 43.5412 13.6343 0
207 47.1902 13.6024 0
208 50.8772 13.7321 0
209 54.6512 13.7339 0
210 58.3519 13.8586 0
211 62.0276 13.9214 0
212 65.751 13.9851 0
213 69.5033 14.0283 0
214 73.2788 14.0499 0
215 76.9008 14.0974 0
216 80.5855 14.2223 0
217 84.327 14.1912 0
218 88.0176 14.233 0
219 91.7308 14.3199 0
220 95.5175 14.4907 0
221 99.214 14.5688 0
222 102.932 14.548 0
223 106.646 14.6335 0
224 110.307 14.6197 0
225 114.057 14.7068 0
226 117.669 14.7484 0
227 121.371 14.859 0
228 125.031 14.8548 0
229 128.758 14.9494 0
230 132.433 15.0785 0
231 136.184 15.114 0
232 139.916 15.1949 0
233 143.649 15.2838 0
234 147.41 15.3336 0
235 151.075 15.3997 0
236 154.726 15.4792 0
237 158.443 15.5947 0
238 162.191 15.6345 0
239 165.88 15.7436 0
240 169.559 15.8017 0
241 -6.43144 15.8916 0
242 -2.72235 15.8937 0
243 0.99018 15.9571 0
244 4.62791 16.048 0
245 8.28354 16.0177 0
246 12.0071 16.1716 0
247 15.6998 16.2281 0
248 19.365 16.2704 0
249 23.1493 16.3932 0
250 26.8702 16.4747 0
251 30.5412 16.4727 0
252 34.2677 16.5724 0
253 37.9447 16.7544 0
254 41.6274 16.7042 0
255 45.2903 16.8815 0
256 49.0101 16.9316 0
257 52.7039 16.9801 0
258 56.404 16.9629 0
259 60.1219 17.078 0
260 63.8633 17.1232 0
261 67.5698 17.1956 0
262 71.2992 17.2102 0
263 74.9901 17.308 0
264 78.6399 17.3363 0
265 82.3721 17.3663 0
266 86.1348 17.4243 0
267 89.8383 17.4661 0
268 93.5207 17.638 0
269 97.2717 17.7135 0
270 100.992 17.7467 0
271 104.691 17.7491 0
272 108.403 17.8497 0
273 112.104 17.839 0
274 115.801 17.8716 0
275 119.466 17.9804 0
276 123.129 18.0924 0
277 126.815 18.1315 0
278 130.518 18.2258 0
279 134.22 18.2959 0
280 137.945 18.4038 0
281 141.672 18.472 0
282 145.303 18.5429 0
283 149.077 18.5785 0
284 152.806 18.6191 0
285 156.461 18.7167 0
286 160.248 18.7966 0
287 163.926 18.9076 0
288 167.616 18.9559 0
289 -8.46781 19.0203 0
290 -4.7469 19.0565 0
291 -1.0058 19.1357 0
292 2.73469 19.2592 0
293 6.47484 19.2853 0
294 10.0894 19.3213 0
295 13.8267 19.3819 0
296 17.551 19.4478 0
297 21.2756 19.563 0
298 24.9657 19.6469 0
299 28.7004 19.6477 0
300 32.3705 19.7157 0
301 36.0972 19.8629 0
302 39.7366 19.9722 0
303 43.464 19.9549 0
304 47.1205 20.1114 0
305 50.7917 20.1574 0
306 54.5094 20.1268 0
307 58.2013 20.2666 0
308 61.9019 20.3477 0
309 65.6501 20.2805 0
310 69.374 20.367 0
311 73.0422 20.5172 0
312 76.7583 20.57 0
313 80.4486 20.6227 0
314 84.1475 20.6302 0
315 87.8186 20.6829 0
316 91.5315 20.7652 0
317 95.2728 20.8529 0
318 99.0168 20.8795 0
319 102.798 20.9489 0
320 106.425 20.9532 0
321 110.156 20.9773 0
322 113.852 21.0362 0
323 117.542 21.1467 0
324 121.182 21.1897 0
325 124.875 21.2819 0
326 128.619 21.3211 0
327 132.334 21.4695 0
328 136.052 21.6344 0
329 139.743 21.594 0
330 143.407 21.6877 0
331 147.127 21.7376 0
332 150.861 21.781 0
333 154.546 21.7945 0
334 158.295 21.9125 0
335 162.07 22.0795 0
336 165.739 22.1842 0
337 -10.426 22.2224 0
338 -6.65625 22.22 0
339 -2.9418 22.3195 0
340 0.772524 22.3561 0
341 4.46888 22.4895 0
342 8.22711 22.5523 0
343 11.9371 22.5926 0
344 15.6153 22.6574 0
345 19.2836 22.6783 0
346 23.0693 22.8328 0
347 26.7186 22.8696 0
348 30.4157 22.9603 0
349 34.1167 22.989 0
350 37.8502 23.0923 0
351 41.5072 23.2151 0
352 45.1383 23.2473 0
353 48.8661 23.3641 0
354 52.6101 23.4096 0
355 56.3555 23.4511 0
356 60.0371 23.5442 0
357 63.7924 23.5569 0
358 67.4176 23.5791 0
359 71.1213 23.6493 0
360 74.8313 23.7633 0
361 78.5293 23.8504 0
362 82.2028 23.855 0
363 85.9176 23.8943 0
364 89.5357 23.9365 0
365 93.3639 24.0194 0
366 97.0994 24.0611 0
367 100.742 24.0824 0
368 104.483 24.1625 0
369 108.154 24.2036 0
370 111.892 24.1494 0
371 115.538 24.3075 0
372 119.24 24.4132 0
