# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
2000 2496
1 3.16497 -0.219691 0
2 6.81872 -0.220298 0
3 10.4494 -0.135316 0
4 14.1235 -0.0815323 0
5 17.8892 -0.00842959 0
6 21.6662 0.127454 0
7 25.3495 0.203064 0
8 29.0717 0.259135 0
9 32.7618 0.387168 0
10 36.4548 0.357794 0
11 40.1282 0.462546 0
12 43.8991 0.550209 0
13 47.6144 0.582571 0
14 51.2783 0.754817 0
15 54.9703 0.86017 0
16 58.6937 0.970213 0
17 62.3634 0.981243 0
18 65.9881 1.01705 0
19 69.787 1.11599 0
20 73.5322 1.18793 0
21 77.2063 1.22963 0
22 80.9936 1.2906 0
23 84.701 1.37678 0
24 88.3595 1.44012 0
25 91.9799 1.52356 0
26 95.8154 1.51442 0
27 99.4654 1.53539 0
28 103.154 1.61826 0
29 106.885 1.71556 0
30 110.5 1.83156 0
31 114.237 1.88035 0
32 117.909 1.93105 0
33 121.635 2.0039 0
34 125.381 2.04594 0
35 129.16 2.19767 0
36 132.906 2.27691 0
37 136.646 2.34342 0
38 140.314 2.36836 0
39 144.018 2.36086 0
40 147.726 2.48994 0
41 151.415 2.53235 0
42 155.094 2.50711 0
43 158.794 2.69896 0
44 162.422 2.76054 0
45 166.119 2.84738 0
46 169.833 2.86399 0
47 173.481 2.83939 0
48 177.167 2.88662 0
49 1.06255 2.9908 0
50 4.89949 3.03877 0
51 8.52136 3.0683 0
52 12.2553 3.14766 0
53 15.915 3.105 0
54 19.6065 3.23434 0
55 23.3421 3.31961 0
56 27.0344 3.4228 0
57 30.7615 3.47021 0
58 34.4633 3.56808 0
59 38.1749 3.68235 0
60 41.8606 3.70354 0
61 45.6693 3.73861 0
62 49.3484 3.9258 0
63 53.0331 3.99695 0
64 56.807 4.09073 0
65 60.4437 4.12482 0
66 64.1413 4.18136 0
67 67.8756 4.20095 0
68 71.6106 4.35255 0
69 75.3196 4.39211 0
70 78.9561 4.45029 0
71 82.7305 4.53168 0
72 86.3801 4.58076 0
73 90.0768 4.66187 0
74 93.8137 4.71615 0
75 97.5473 4.8319 0
76 101.179 4.83468 0
77 104.883 4.907 0
78 108.536 5.01711 0
79 112.248 5.10274 0
80 115.958 5.2011 0
81 119.621 5.22292 0
82 123.375 5.27084 0
83 127.101 5.28665 0
84 130.838 5.47562 0
85 134.642 5.49859 0
86 138.394 5.57715 0
87 142.055 5.63029 0
88 145.724 5.69044 0
89 149.482 5.70657 0
90 153.217 5.69043 0
91 156.874 5.84967 0
92 160.528 5.92973 0
93 164.198 5.97844 0
94 167.928 6.04506 0
95 171.627 6.04085 0
96 175.35 6.08594 0
97 -0.777635 6.14971 0
98 2.85836 6.33522 0
99 6.53518 6.30497 0
100 10.2303 6.32745 0
101 13.9487 6.36119 0
102 17.6451 6.43552 0
103 21.3331 6.48188 0
104 25.0667 6.5761 0
105 28.7913 6.63777 0
106 32.5042 6.69636 0
107 36.1971 6.82648 0
108 39.9428 6.90196 0
109 43.6455 6.95311 0
110 47.4285 7.15097 0
111 51.1235 7.23455 0
112 54.8647 7.24735 0
113 58.5281 7.29908 0
114 62.2329 7.35922 0
115 65.8866 7.3513 0
116 69.6559 7.53364 0
117 73.3888 7.58584 0
118 77.0859 7.61718 0
119 80.8207 7.68556 0
120 84.4945 7.76252 0
121 88.1819 7.81637 0
122 91.9066 7.87807 0
123 95.562 7.98682 0
124 99.2961 8.01317 0
125 102.977 8.12688 0
126 106.644 8.25882 0
127 110.359 8.32093 0
128 114.106 8.39803 0
129 117.759 8.49974 0
130 121.44 8.44857 0
131 125.096 8.51448 0
