# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
8000 2496
1 3.11686 -0.0547397 0
2 6.7856 0.0859975 0
3 10.5259 0.106235 0
4 14.1836 0.229883 0
5 17.9217 0.275879 0
6 21.6221 0.259338 0
7 25.3808 0.336708 0
8 29.0008 0.403665 0
9 32.696 0.428164 0
10 36.4764 0.480578 0
11 40.1987 0.547014 0
12 43.8621 0.604425 0
13 47.5355 0.710763 0
14 51.2337 0.821402 0
15 54.9323 0.959659 0
16 58.7342 0.881514 0
17 62.4342 0.940662 0
18 66.1665 1.00332 0
19 69.9044 1.13694 0
20 73.5164 1.15055 0
21 77.1885 1.16777 0
22 80.8369 1.27551 0
23 84.6033 1.33887 0
24 88.2899 1.39046 0
25 91.9574 1.4673 0
26 95.714 1.5944 0
27 99.4058 1.63573 0
28 103.096 1.73272 0
29 106.894 1.72541 0
30 110.601 1.79044 0
31 114.327 1.92036 0
32 118.071 2.05346 0
33 121.796 2.07967 0
34 125.472 2.13768 0
35 129.233 2.19183 0
36 132.895 2.27468 0
37 136.557 2.30305 0
38 140.24 2.39245 0
39 144.066 2.50862 0
40 147.714 2.46462 0
41 151.457 2.66856 0
42 155.1 2.64558 0
43 158.781 2.7416 0
44 162.437 2.90314 0
45 166.254 2.87379 0
46 170.007 2.97471 0
47 173.71 2.95663 0
48 177.339 2.96446 0
49 1.22574 3.03579 0
50 4.83879 3.15654 0
51 8.54058 3.35604 0
52 12.3003 3.36748 0
53 16.0079 3.45261 0
54 19.7846 3.50068 0
55 23.4467 3.54376 0
56 27.0909 3.55709 0
57 30.7758 3.58541 0
58 34.462 3.58015 0
59 38.2667 3.6793 0
60 41.9029 3.8541 0
61 45.6062 3.90409 0
62 49.3522 3.98076 0
63 53.0191 4.04498 0
64 56.7096 4.09425 0
65 60.4737 4.14103 0
66 64.2567 4.15907 0
67 67.9202 4.32128 0
68 71.592 4.32104 0
69 75.2675 4.36077 0
70 78.9626 4.46109 0
71 82.6367 4.50909 0
72 86.4195 4.54126 0
73 90.1022 4.61623 0
74 93.7716 4.73684 0
75 97.4435 4.83963 0
76 101.111 4.87312 0
77 104.902 4.95886 0
78 108.64 4.97384 0
79 112.442 5.02867 0
80 116.182 5.15249 0
81 119.783 5.24819 0
82 123.546 5.34288 0
83 127.217 5.46355 0
84 130.943 5.5695 0
85 134.655 5.55555 0
86 138.335 5.57929 0
87 142.041 5.66795 0
88 145.842 5.6883 0
89 149.492 5.80414 0
90 153.253 5.84947 0
91 156.88 5.93217 0
92 160.51 6.0303 0
93 164.278 6.05162 0
94 167.978 6.18184 0
95 171.727 6.15829 0
96 175.451 6.20994 0
97 -0.735524 6.27699 0
98 2.93048 6.31673 0
99 6.60764 6.4588 0
100 10.3744 6.52719 0
101 14.0674 6.60785 0
102 17.7591 6.66555 0
103 21.4938 6.68705 0
104 25.1792 6.71308 0
105 28.8716 6.77408 0
106 32.5727 6.80282 0
107 36.2451 6.81961 0
108 39.9375 6.97658 0
109 43.6599 7.03405 0
110 47.3256 7.16772 0
111 51.1159 7.23477 0
112 54.8676 7.24039 0
113 58.5419 7.31004 0
114 62.2095 7.34821 0
115 65.941 7.35442 0
116 69.6865 7.52321 0
117 73.3648 7.61611 0
118 77.0463 7.57344 0
119 80.7618 7.63487 0
120 84.474 7.69252 0
121 88.0884 7.8248 0
122 91.8175 7.92639 0
123 95.4907 7.9617 0
124 99.2822 8.07675 0
125 102.973 8.1653 0
126 106.73 8.20369 0
127 110.487 8.19604 0
128 114.228 8.23325 0
129 117.905 8.36621 0
130 121.621 8.50226 0
131 125.276 8.63191 0
132 128.979 8.7746 0
133 132.745 8.85948 0
134 136.45 8.83437 0
135 140.091 8.81665 0
136 143.766 8.89338 0
137 147.601 8.97271 0
138 151.302 8.96428 0
139 154.979 9.11942 0
140 158.615 9.19154 0
141 162.351 9.23224 0
142 166.036 9.31335 0
143 169.746 9.33789 0
144 173.472 9.42223 0
145 -2.69858 9.44592 0
146 0.941812 9.54641 0
147 4.64275 9.61165 0
148 8.3006 9.68465 0
149 12.1298 9.74904 0
150 15.9384 9.85134 0
151 19.6259 9.85205 0
152 23.2457 9.86213 0
153 27.0017 9.95575 0
154 30.6764 9.96795 0
155 34.3777 10.0031 0
156 38.0183 10.0856 0
157 41.7543 10.1592 0
158 45.4278 10.2469 0
159 49.1703 10.3724 0
160 52.8846 10.4131 0
161 56.5554 10.4817 0
162 60.2347 10.5294 0
163 64.0292 10.4894 0
164 67.6502 10.5973 0
165 71.3666 10.741 0
166 75.0947 10.8352 0
167 78.8287 10.7937 0
168 82.5534 10.8466 0
169 86.1972 10.9492 0
170 89.892 11.0662 0
171 93.5182 11.1198 0
172 97.2561 11.2222 0
173 101.1 11.3219 0
174 104.845 11.4457 0
175 108.537 11.4181 0
176 112.305 11.5032 0
177 116.024 11.601 0
178 119.724 11.6462 0
179 123.423 11.7318 0
180 127.126 11.9038 0
181 130.78 12.0048 0
182 134.491 12.0506 0
183 138.206 12.0194 0
184 141.901 12.0374 0
185 145.638 12.1753 0
186 149.396 12.1425 0
187 153.04 12.2414 0
188 156.717 12.3098 0
189 160.413 12.3891 0
190 164.093 12.4538 0
191 167.848 12.5156 0
192 171.507 12.564 0
193 -4.65356 12.5976 0
194 -0.929788 12.7459 0
195 2.71937 12.7785 0
196 6.37594 12.9211 0
197 10.1116 12.8933 0
198 13.8663 12.9528 0
199 17.6171 13.0772 0
200 21.3662 13.1076 0
201 25.0711 13.1112 0
202 28.7227 13.122 0
203 32.4429 13.1951 0
204 36.1889 13.2349 0
205 39.813 13.3729 0
206 43.5185 13.5001 0
207 47.1564 13.5272 0
208 50.9171 13.5955 0
209 54.6471 13.6284 0
210 58.3303 13.699 0
211 61.9864 13.718 0
212 65.7292 13.8086 0
213 69.4495 13.8823 0
214 73.1829 13.9704 0
215 76.9007 14.0522 0
216 80.6685 14.111 0
217 84.3334 14.1409 0
218 88.0003 14.2121 0
219 91.6965 14.3007 0
220 95.397 14.3557 0
221 99.065 14.4147 0
222 102.902 14.6548 0
223 106.629 14.6527 0
224 110.354 14.6687 0
225 114.041 14.8011 0
226 117.769 14.8473 0
