# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
6000 2496
1 3.22288 -0.195486 0
2 6.88712 -0.106824 0
3 10.5045 -0.0437328 0
4 14.1894 0.0802582 0
5 17.988 0.0443412 0
6 21.69 0.160552 0
7 25.3433 0.284623 0
8 29.0306 0.295915 0
9 32.7592 0.307078 0
10 36.4442 0.447078 0
11 40.1241 0.573879 0
12 43.8074 0.641233 0
13 47.4907 0.741686 0
14 51.2109 0.878846 0
15 54.8632 0.932671 0
16 58.6201 1.02389 0
17 62.3659 1.06428 0
18 66.0768 1.0789 0
19 69.7201 1.11202 0
20 73.4008 1.18654 0
21 77.1133 1.37819 0
22 80.8092 1.41789 0
23 84.578 1.42741 0
24 88.2938 1.53787 0
25 91.9614 1.5475 0
26 95.6923 1.63276 0
27 99.3903 1.66175 0
28 103.115 1.75826 0
29 106.901 1.77139 0
30 110.553 1.88921 0
31 114.241 1.89299 0
32 118.001 1.92086 0
33 121.656 1.99111 0
34 125.369 2.05684 0
35 129.151 2.1977 0
36 132.784 2.28673 0
37 136.493 2.24148 0
38 140.204 2.28139 0
39 143.903 2.40375 0
40 147.643 2.45636 0
41 151.367 2.49574 0
42 155.023 2.54154 0
43 158.827 2.62887 0
44 162.538 2.67185 0
45 166.206 2.78539 0
46 169.967 2.86171 0
47 173.625 2.97764 0
48 177.294 2.93071 0
49 1.15565 3.03865 0
50 4.91494 3.11422 0
51 8.6227 3.1586 0
52 12.3047 3.25292 0
53 15.9989 3.28537 0
54 19.7083 3.33082 0
55 23.4503 3.44458 0
56 27.1842 3.48419 0
57 30.8003 3.6108 0
58 34.4826 3.50943 0
59 38.1631 3.65617 0
60 41.8978 3.86325 0
61 45.5849 3.8753 0
62 49.2566 4.01545 0
63 52.9679 4.08677 0
64 56.6904 4.11322 0
65 60.3561 4.23636 0
66 64.1722 4.25228 0
67 67.8191 4.27851 0
68 71.6031 4.33314 0
69 75.2192 4.4477 0
70 78.9219 4.5585 0
71 82.6431 4.53853 0
72 86.3242 4.66469 0
73 89.9972 4.75828 0
74 93.7104 4.79922 0
75 97.4459 4.90122 0
76 101.176 4.89475 0
77 104.955 4.95114 0
78 108.6 5.06124 0
79 112.309 5.06985 0
80 115.982 5.1075 0
81 119.765 5.14379 0
82 123.431 5.23601 0
83 127.207 5.30036 0
84 130.931 5.48418 0
85 134.644 5.45605 0
86 138.31 5.4967 0
87 141.941 5.55559 0
88 145.707 5.58999 0
89 149.423 5.65266 0
90 153.153 5.70437 0
91 156.931 5.75538 0
92 160.617 5.8466 0
93 164.276 5.90503 0
94 167.975 6.00677 0
95 171.734 6.13871 0
96 175.386 6.14963 0
97 -0.693397 6.25599 0
98 3.00984 6.31099 0
99 6.69599 6.39389 0
