# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
10000 2496
1 -3.96928 10.2094 0
2 -0.488867 10.5197 0
3 3.10521 10.2478 0
4 6.59731 10.5239 0
5 10.1432 10.107 0
6 13.6962 10.3688 0
7 17.3227 10.2305 0
8 20.8398 10.3952 0
9 24.1925 10.1325 0
10 27.8428 10.2719 0
11 31.4814 10.0519 0
12 35.0468 10.2444 0
13 38.5496 10.3839 0
14 42.1117 10.0521 0
15 45.5772 10.5019 0
16 49.1245 10.2391 0
17 52.6086 10.4487 0
18 56.2078 10.1715 0
19 59.637 10.3005 0
20 63.2145 10.0796 0
21 66.766 10.42 0
22 70.3982 10.3134 0
23 74.0015 10.48 0
24 77.4696 10.3044 0
25 80.8748 10.5852 0
26 84.3505 10.3109 0
27 87.8388 10.6589 0
28 91.2523 10.4609 0
29 94.8438 10.5913 0
30 98.4125 10.4115 0
31 102.071 10.4389 0
32 105.662 10.315 0
33 109.138 10.2898 0
34 112.643 10.3188 0
35 116.181 10.0513 0
36 119.699 10.3618 0
37 123.245 10.0736 0
38 126.837 10.3388 0
39 130.325 10.0942 0
40 134.023 10.3719 0
41 137.492 10.075 0
42 140.94 10.2096 0
43 144.452 10.1053 0
44 148.041 10.4059 0
45 151.556 10.3056 0
46 155.088 10.5469 0
47 158.641 10.245 0
48 162.176 10.5171 0
49 -5.59455 12.9817 0
50 -2.07248 13.2821 0
51 1.47554 12.938 0
52 5.04501 13.2713 0
53 8.53215 12.9974 0
54 12.0427 13.1455 0
55 15.7028 12.9162 0
56 19.1797 13.2094 0
57 22.7074 12.9788 0
58 26.2258 12.9469 0
59 29.8072 12.7185 0
60 33.4559 12.9553 0
61 36.9797 13.0641 0
62 40.5005 12.9485 0
63 43.9167 13.3063 0
64 47.4862 13.0482 0
65 51.0214 13.2853 0
66 54.601 12.891 0
67 58.1634 13.1443 0
68 61.5971 12.9333 0
69 65.2249 13.0964 0
70 68.722 12.9763 0
71 72.3 13.1437 0
72 75.9025 13.0557 0
73 79.3175 13.3903 0
74 82.791 13.1044 0
75 86.2529 13.3842 0
76 89.7929 13.255 0
77 93.2114 13.4724 0
78 96.7702 13.1272 0
79 100.395 13.2479 0
80 103.975 12.9153 0
81 107.623 13.0164 0
82 111.08 13.1803 0
83 114.673 12.9342 0
84 118.122 13.1051 0
85 121.685 12.8046 0
86 125.187 13.0446 0
87 128.791 12.8573 0
88 132.413 13.0894 0
89 135.938 12.976 0
90 139.424 13.1038 0
91 142.886 12.8928 0
92 146.351 13.0853 0
93 150.014 13.0115 0
94 153.482 13.2041 0
95 157.077 13.002 0
96 160.606 13.2698 0
97 -4.03415 15.7614 0
98 -0.42398 15.9905 0
99 3.08222 15.6931 0
100 6.66517 15.9614 0
101 10.1644 15.6489 0
102 13.6072 15.9211 0
103 17.2253 15.7081 0
104 20.7359 15.975 0
105 24.2442 15.6969 0
106 27.8959 15.5907 0
107 31.3969 15.3796 0
108 34.9849 15.7001 0
109 38.497 16.0041 0
110 41.9607 15.8148 0
111 45.5603 15.9456 0
112 49.0647 15.7837 0
113 52.7184 15.8666 0
114 56.1749 15.645 0
115 59.7506 15.8719 0
116 63.2804 15.6159 0
117 66.8396 15.8738 0
118 70.3639 15.6426 0
119 73.7895 15.9272 0
120 77.3041 15.9633 0
121 80.8876 16.2056 0
122 84.3328 15.9058 0
123 87.8833 16.1877 0
124 91.3362 16.0194 0
125 94.9247 16.1876 0
126 98.4864 15.7881 0
127 102.119 15.9144 0
128 105.636 15.5602 0
129 109.17 15.8152 0
130 112.638 15.9214 0
131 116.308 15.6699 0
132 119.763 15.7661 0
133 123.29 15.5562 0
134 126.821 15.8334 0
135 130.438 15.5772 0
136 133.934 15.8713 0
137 137.49 15.6976 0
138 140.92 15.9235 0
139 144.462 15.72 0
140 148.061 15.8149 0
141 151.579 15.7298 0
142 155.13 15.9182 0
143 158.609 15.77 0
144 162.162 16.0719 0
145 -5.60274 18.542 0
146 -2.05784 18.7779 0
147 1.53715 18.4828 0
148 5.06547 18.6415 0
149 8.61358 18.4506 0
150 12.1197 18.7559 0
151 15.5748 18.4305 0
152 19.1508 18.7035 0
153 22.7351 18.6033 0
154 26.2765 18.3853 0
155 29.7449 18.0982 0
156 33.283 18.4762 0
157 36.804 18.6752 0
158 40.3146 18.5158 0
159 43.9043 18.67 0
160 47.4952 18.4279 0
161 51.043 18.6012 0
162 54.5502 18.4915 0
163 58.1418 18.6361 0
164 61.6569 18.3596 0
165 65.2567 18.6518 0
166 68.7986 18.3596 0
167 72.2865 18.6999 0
168 75.7959 18.8026 0
169 79.32 18.8973 0
170 82.8356 18.6991 0
171 86.3414 19.0136 0
172 89.8484 18.7193 0
173 93.4576 18.9589 0
174 96.9629 18.5906 0
175 100.556 18.6343 0
176 104.08 18.347 0
177 107.611 18.5557 0
178 111.175 18.7496 0
179 114.615 18.4022 0
180 118.151 18.6429 0
181 121.718 18.2996 0
182 125.208 18.6773 0
183 128.814 18.3184 0
184 132.35 18.675 0
185 135.825 18.4003 0
186 139.423 18.6904 0
187 142.956 18.5268 0
188 146.471 18.6444 0
189 149.913 18.3832 0
190 153.489 18.6986 0
191 157.033 18.5704 0
192 160.495 18.7949 0
193 -3.98402 21.2395 0
194 -0.391027 21.441 0
195 3.12157 21.2099 0
196 6.68469 21.4569 0
197 10.1974 21.1841 0
198 13.7377 21.4627 0
199 17.209 21.143 0
200 20.7301 21.4523 0
201 24.3112 21.32 0
202 27.7944 21.2104 0
203 31.3228 20.9083 0
204 34.843 21.2657 0
205 38.353 21.4645 0
206 41.8945 21.2134 0
207 45.5548 21.4082 0
208 49.0384 21.1511 0
209 52.5648 21.3763 0
210 56.1919 21.1739 0
211 59.8133 21.4106 0
212 63.2602 21.134 0
213 66.8646 21.3666 0
214 70.3246 21.2427 0
215 73.9031 21.3521 0
216 77.3553 21.554 0
217 80.9711 21.6741 0
218 84.4333 21.5365 0
219 87.9801 21.6285 0
220 91.5509 21.4727 0
221 95.1206 21.5913 0
222 98.6551 21.1862 0
223 102.153 21.3545 0
224 105.69 21.0391 0
225 109.214 21.3261 0
226 112.763 21.4535 0
227 116.29 21.2154 0
228 119.727 21.4378 0
229 123.295 21.1198 0
230 126.902 21.3141 0
231 130.393 21.0812 0
232 133.932 21.4601 0
233 137.446 21.2236 0
234 140.984 21.4456 0
235 144.567 21.2682 0
236 148.035 21.4785 0
237 151.526 21.1413 0
238 155.053 21.486 0
239 158.632 21.3157 0
240 162.15 21.4856 0
241 -5.55154 24.0057 0
242 -2.00178 24.2317 0
243 1.5155 23.938 0
244 5.10314 24.2829 0
245 8.62031 23.8866 0
246 12.1049 24.1363 0
247 15.6676 23.9789 0
248 19.1081 24.2406 0
249 22.6296 23.9499 0
250 26.1814 23.9171 0
251 29.719 23.6738 0
252 33.2668 23.9709 0
253 36.7695 24.3003 0
254 40.276 24.0214 0
255 43.9688 24.2072 0
256 47.5165 23.9456 0
257 51.0016 24.1839 0
258 54.5486 23.8956 0
259 58.1873 24.1324 0
260 61.7033 23.91 0
261 65.2131 24.0834 0
262 68.7291 23.9078 0
263 72.3187 24.0678 0
264 75.821 24.3395 0
265 79.2471 24.3626 0
266 82.843 24.291 0
267 86.3789 24.335 0
268 89.8839 24.1048 0
269 93.521 24.2742 0
270 97.0792 24.0377 0
271 100.618 24.2437 0
272 104.08 23.8753 0
273 107.647 24.1248 0
274 111.196 24.1702 0
275 114.69 23.9696 0
276 118.177 24.2568 0
277 121.724 24.0138 0
278 125.335 24.1262 0
279 128.822 23.8473 0
280 132.25 24.2272 0
281 135.786 23.982 0
282 139.397 24.3039 0
283 142.943 23.9911 0
284 146.47 24.1863 0
285 150.044 24.0374 0
286 153.486 24.2005 0
287 156.993 24.1409 0
288 160.565 24.232 0
289 -3.89668 26.7046 0
290 -0.369548 27.0251 0
291 3.12325 26.7473 0
292 6.69244 27.0032 0
293 10.1883 26.7048 0
294 13.6337 26.9526 0
295 17.1353 26.815 0
296 20.7265 26.9462 0
297 24.1857 26.6803 0
298 27.7615 26.7565 0
299 31.2711 26.4811 0
300 34.758 26.8851 0
301 38.387 27.0804 0
302 41.961 26.7139 0
303 45.5689 26.8962 0
304 49.1462 26.7456 0
305 52.6846 26.8508 0
306 56.2158 26.6252 0
307 59.7262 26.9084 0
308 63.2825 26.6215 0
309 66.8081 26.8489 0
310 70.2931 26.6402 0
311 73.8869 26.8432 0
312 77.4084 27.0389 0
313 80.9504 26.9901 0
314 84.4409 26.9794 0
315 87.9722 27.136 0
316 91.5222 26.9071 0
317 95.044 27.049 0
318 98.6769 26.7185 0
319 102.216 26.973 0
320 105.74 26.6193 0
321 109.283 26.8195 0
322 112.793 26.8992 0
323 116.277 26.6824 0
324 119.784 26.9342 0
325 123.37 26.637 0
326 126.882 26.9658 0
327 130.327 26.7755 0
328 133.839 26.9204 0
329 137.488 26.7826 0
330 141.049 27.0097 0
331 144.619 26.7072 0
332 148.078 26.9597 0
333 151.667 26.8011 0
334 155.16 27.0023 0
335 158.639 26.8117 0
336 162.195 27.0397 0
337 -5.54435 29.4989 0
338 -2.0175 29.7812 0
339 1.5551 29.5535 0
340 5.06339 29.7732 0
341 8.64551 29.5343 0
342 12.0311 29.7542 0
343 15.4538 29.4872 0
344 19.0423 29.7053 0
345 22.586 29.4237 0
346 26.1102 29.5722 0
347 29.676 29.3718 0
348 33.1319 29.5623 0
349 36.7957 29.77 0
350 40.384 29.5154 0
351 43.9566 29.6422 0
352 47.4642 29.4538 0
353 51.111 29.5925 0
354 54.59 29.4129 0
355 58.106 29.6191 0
356 61.6473 29.3972 0
357 65.2193 29.6066 0
358 68.7048 29.4082 0
359 72.2666 29.5555 0
360 75.8729 29.7851 0
361 79.3506 29.6466 0
362 82.9314 29.8737 0
363 86.3856 30.0133 0
364 89.9624 29.6283 0
365 93.502 29.7502 0
366 97.0365 29.4551 0
367 100.6 29.6129 0
368 104.209 29.4589 0
369 107.755 29.586 0
370 111.243 29.6326 0
371 114.745 29.4568 0
372 118.208 29.6365 0
373 121.799 29.3924 0
374 125.256 29.6455 0
375 128.771 29.5585 0
376 132.273 29.7223 0
377 135.801 29.4487 0
378 139.41 29.7399 0
379 143.028 29.5012 0
380 146.574 29.7315 0
381 150.049 29.4461 0
382 153.631 29.7496 0
383 157.098 29.6011 0
384 160.56 29.8211 0
385 -3.94554 32.3237 0
386 -0.447199 32.5657 0
387 3.135 32.3007 0
388 6.65124 32.4763 0
389 10.0969 32.4042 0
390 13.6102 32.5063 0
391 17.0782 32.1837 0
392 20.6106 32.3766 0
393 24.1607 32.1738 0
394 27.6943 32.3126 0
395 31.29 32.148 0
396 34.8453 32.2706 0
397 38.4031 32.5409 0
398 41.9878 32.1802 0
399 45.5456 32.4467 0
400 49.1195 32.1574 0
401 52.5872 32.3602 0
402 56.1743 32.192 0
403 59.7205 32.3663 0
404 63.3036 32.0842 0
405 66.8538 32.3718 0
406 70.3102 32.124 0
407 73.9414 32.2884 0
408 77.4449 32.6198 0
409 80.9928 32.4081 0
410 84.4961 32.6729 0
411 88.0914 32.6015 0
412 91.6441 32.2684 0
413 95.2148 32.2891 0
414 98.726 32.1316 0
415 102.236 32.2839 0
416 105.87 32.1461 0
417 109.314 32.4566 0
418 112.859 32.4213 0
419 116.348 32.226 0
420 119.863 32.3933 0
421 123.359 32.2038 0
422 126.845 32.452 0
423 130.346 32.3339 0
424 133.865 32.5375 0
425 137.42 32.2079 0
426 141.029 32.4809 0
427 144.616 32.2503 0
428 148.193 32.4979 0
429 151.625 32.24 0
430 155.109 32.5166 0
431 158.682 32.3564 0
432 162.231 32.4489 0
433 -5.49052 35.0375 0
434 -2.01002 35.3093 0
435 1.43209 35.0252 0
436 5.03243 35.2748 0
437 8.50314 35.1299 0
438 12.0728 35.3083 0
439 15.5532 35.0233 0
440 19.0679 35.1384 0
441 22.4662 34.8434 0
442 26.0678 35.0789 0
443 29.6057 34.7856 0
444 33.2541 34.9632 0
445 36.7941 35.2757 0
446 40.3504 35.0219 0
447 44.0097 35.1777 0
448 47.5048 34.908 0
449 51.0292 35.1796 0
450 54.5704 34.931 0
451 58.0943 35.1798 0
452 61.6732 34.8761 0
453 65.2066 35.0735 0
454 68.7756 34.8449 0
455 72.2705 35.0157 0
456 75.8671 35.3603 0
457 79.3867 35.0634 0
458 82.9442 35.3887 0
459 86.5376 35.3037 0
460 90.1277 35.0321 0
461 93.7509 35.057 0
462 97.1314 34.8728 0
463 100.671 35.1098 0
464 104.171 34.8408 0
465 107.695 35.1565 0
466 111.301 35.332 0
467 114.794 35.085 0
468 118.271 35.2262 0
469 121.788 34.9559 0
470 125.264 35.1998 0
471 128.726 35.0999 0
472 132.235 35.2268 0
473 135.82 35.0625 0
474 139.35 35.2002 0
475 142.995 34.9733 0
476 146.573 35.2359 0
477 150.092 35.0482 0
478 153.57 35.2414 0
479 157.109 35.0635 0
480 160.676 35.2701 0
481 -3.91953 37.8405 0
482 -0.437962 38.1153 0
483 3.02 37.7923 0
484 6.57761 38.0765 0
485 10.0581 37.886 0
486 13.6441 38.0667 0
487 17.1619 37.7156 0
488 20.6821 37.9183 0
489 24.1982 37.5742 0
490 27.7391 37.8158 0
491 31.3277 37.532 0
492 34.8702 37.7065 0
493 38.4294 37.9207 0
494 42.0802 37.6385 0
495 45.5889 37.9411 0
496 49.0959 37.6707 0
497 52.623 37.9192 0
498 56.1707 37.7288 0
499 59.6507 37.838 0
500 63.265 37.615 0
501 66.7606 37.9073 0
502 70.281 37.6339 0
503 73.8587 37.7375 0
504 77.3767 38.0635 0
505 80.9345 37.8861 0
506 84.5365 38.1491 0
507 88.1815 37.9933 0
508 91.7655 37.6597 0
509 95.2595 37.9529 0
510 98.7401 37.6735 0
511 102.256 37.816 0
512 105.723 37.6127 0
513 109.307 37.8754 0
514 112.887 38.0017 0
515 116.435 37.8354 0
516 119.876 37.94 0
517 123.385 37.7412 0
518 126.851 37.999 0
519 130.393 37.7938 0
520 133.87 38.0253 0
521 137.428 37.7174 0
522 140.993 37.8242 0
523 144.621 37.7413 0
524 148.11 38.05 0
525 151.703 37.823 0
526 155.226 37.9961 0
527 158.728 37.8388 0
528 162.285 38.0095 0
529 -5.52243 40.5076 0
530 -2.05857 40.8631 0
531 1.51447 40.5553 0
532 4.96663 40.8064 0
533 8.52346 40.7098 0
534 12.0785 40.8181 0
535 15.6355 40.5503 0
536 19.1635 40.7594 0
537 22.7761 40.5062 0
538 26.3272 40.7051 0
539 29.7539 40.2826 0
540 33.2239 40.4382 0
541 36.9387 40.712 0
542 40.4589 40.3746 0
543 43.9262 40.6367 0
544 47.5495 40.4859 0
545 51.0123 40.643 0
546 54.5183 40.4264 0
547 58.1257 40.6951 0
548 61.6564 40.3676 0
549 65.244 40.7305 0
550 68.7411 40.4294 0
551 72.2344 40.416 0
552 75.7339 40.7324 0
553 79.3046 40.6425 0
554 82.8349 40.7975 0
555 86.439 40.671 0
556 90.1857 40.5025 0
557 93.6961 40.7602 0
558 97.3211 40.5512 0
559 100.792 40.7145 0
560 104.205 40.3982 0
561 107.614 40.5721 0
562 111.241 40.7402 0
563 114.864 40.6287 0
564 118.398 40.819 0
565 121.817 40.505 0
566 125.31 40.8204 0
567 128.825 40.5598 0
568 132.328 40.8035 0
569 135.883 40.4868 0
570 139.421 40.7179 0
571 142.973 40.4143 0
572 146.491 40.6996 0
573 150.08 40.5036 0
574 153.564 40.7544 0
575 157.147 40.503 0
576 160.637 40.8159 0
577 -4.01861 43.2786 0
578 -0.365174 43.5763 0
579 3.07911 43.3542 0
580 6.63543 43.5031 0
581 10.1845 43.3292 0
582 13.7654 43.5183 0
583 17.2481 43.3157 0
584 20.7912 43.4833 0
585 24.3038 43.2957 0
586 27.912 43.4495 0
587 31.3242 43.1468 0
588 34.8893 43.1473 0
589 38.4329 43.5713 0
590 41.9647 43.1549 0
591 45.4868 43.4402 0
592 49.0694 43.2462 0
593 52.6252 43.4059 0
594 56.1553 43.1808 0
595 59.7059 43.373 0
596 63.2396 43.1608 0
597 66.8837 43.4314 0
598 70.3608 43.2571 0
599 73.8296 43.239 0
600 77.3816 43.3725 0
601 80.9615 43.3732 0
602 84.5387 43.4993 0
603 88.1833 43.2773 0
604 91.7287 43.3404 0
605 95.3447 43.4552 0
606 98.8638 43.3651 0
607 102.334 43.5035 0
608 105.696 43.2985 0
609 109.314 43.1693 0
610 112.873 43.5311 0
611 116.415 43.3676 0
612 119.929 43.5918 0
613 123.374 43.2658 0
614 126.85 43.5343 0
615 130.444 43.323 0
616 133.952 43.4512 0
617 137.532 43.256 0
618 141.131 43.4121 0
619 144.61 43.1685 0
620 148.12 43.552 0
621 151.531 43.3487 0
622 155.127 43.4689 0
623 158.684 43.4021 0
624 162.225 43.5112 0
625 -5.55684 46.0767 0
626 -2.0487 46.2216 0
627 1.54719 46.126 0
628 5.06944 46.2167 0
629 8.60344 46.036 0
630 12.1722 46.2212 0
631 15.659 46.0242 0
632 19.1694 46.2553 0
633 22.7438 45.9883 0
634 26.303 46.1644 0
635 29.9141 46.0732 0
636 33.3276 45.9557 0
637 36.7903 46.2514 0
638 40.3569 46.0942 0
