# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
8000 2496
1 -3.76174 10.2298 0
2 -0.151262 10.3125 0
3 3.43531 10.1346 0
4 6.89232 10.2231 0
5 10.3751 9.96153 0
6 13.8563 10.2695 0
7 17.4022 10.0753 0
8 20.917 10.2389 0
9 24.4014 9.95686 0
10 27.8418 10.1899 0
11 31.4688 9.84201 0
12 34.9755 10.1257 0
13 38.5105 10.4137 0
14 42.0098 10.2487 0
15 45.6519 10.4674 0
16 49.1875 10.3215 0
17 52.6662 10.4534 0
18 56.1997 10.1221 0
19 59.7884 10.2666 0
20 63.3085 10.4008 0
21 66.8815 10.619 0
22 70.381 10.1235 0
23 73.8956 10.3979 0
24 77.5025 9.95416 0
25 81.1191 10.2628 0
26 84.6825 10.1736 0
27 88.1098 10.3318 0
28 91.6485 10.5022 0
29 95.3008 10.5823 0
30 98.803 10.3284 0
31 102.296 10.5418 0
32 105.815 10.4416 0
33 109.376 10.3158 0
34 112.984 10.4539 0
35 116.461 10.3144 0
36 120.021 10.4742 0
37 123.484 10.2825 0
38 126.923 10.5868 0
39 130.413 10.3251 0
40 134.103 10.6489 0
41 137.515 10.4264 0
42 141.088 10.5448 0
43 144.633 10.3212 0
44 148.164 10.4335 0
45 151.654 10.227 0
46 155.229 10.1205 0
47 158.845 10.0213 0
48 162.394 10.1362 0
49 -5.35362 12.9909 0
50 -1.74727 13.0438 0
51 1.82934 12.929 0
52 5.38486 13.1635 0
53 8.87209 12.8085 0
54 12.4129 13.016 0
55 15.8505 12.7503 0
56 19.4419 12.996 0
57 22.8779 12.6665 0
58 26.3069 13.0286 0
59 29.8459 12.6575 0
60 33.3819 12.985 0
61 36.8651 13.226 0
62 40.4452 13.0133 0
63 44.011 13.1799 0
64 47.5093 12.9774 0
65 51.1259 13.1393 0
66 54.6837 12.9187 0
67 58.2492 13.1091 0
68 61.7439 13.1824 0
69 65.3167 13.3333 0
70 68.8882 13.1197 0
71 72.3619 13.2532 0
72 75.9734 12.8067 0
73 79.4918 13.0049 0
74 83.0834 12.9602 0
75 86.6334 13.0952 0
76 90.0859 13.257 0
77 93.7217 13.2811 0
78 97.265 13.145 0
79 100.802 13.3518 0
80 104.257 13.1923 0
81 107.752 12.9563 0
82 111.359 13.1596 0
83 114.83 13.0648 0
84 118.363 13.2846 0
85 121.912 12.9685 0
86 125.383 13.3239 0
87 128.884 13.1526 0
88 132.404 13.2333 0
89 136.066 13.1937 0
90 139.515 13.3016 0
91 143.103 13.0581 0
92 146.597 13.2944 0
93 150.091 12.903 0
94 153.688 12.9043 0
95 157.25 12.7333 0
96 160.915 13.0499 0
97 -3.67175 15.6153 0
98 -0.133919 15.8035 0
99 3.42932 15.6533 0
100 6.98007 15.9326 0
101 10.5416 15.5531 0
102 14.0055 15.7571 0
103 17.4424 15.5048 0
104 21.0138 15.8048 0
105 24.4234 15.5136 0
106 27.9365 15.7226 0
107 31.4246 15.4144 0
108 34.9185 15.6961 0
109 38.5229 15.9553 0
110 42.1146 15.6534 0
111 45.5711 15.9963 0
112 49.2062 15.6609 0
113 52.6555 15.872 0
114 56.3073 15.5835 0
115 59.9202 15.8387 0
116 63.4005 15.8843 0
117 66.915 15.9774 0
118 70.5036 15.8533 0
119 74.0798 16.0139 0
120 77.545 15.6008 0
121 81.0571 15.7467 0
122 84.6749 15.6453 0
123 88.1881 15.8869 0
124 91.7837 15.818 0
125 95.2957 16.1052 0
126 98.841 16.0546 0
127 102.318 16.1441 0
128 105.818 15.924 0
129 109.347 15.6366 0
130 112.9 15.9964 0
131 116.446 15.7368 0
132 119.995 16.0985 0
133 123.499 15.875 0
134 127.032 16.0809 0
135 130.565 15.8431 0
136 134.043 15.88 0
137 137.679 15.9303 0
138 141.117 16.0752 0
139 144.701 15.803 0
140 148.262 16.0515 0
141 151.769 15.6624 0
142 155.275 15.7702 0
143 158.876 15.5045 0
144 162.353 15.9087 0
145 -5.26655 18.3398 0
146 -1.77633 18.5193 0
147 1.81555 18.4319 0
148 5.38752 18.6858 0
149 8.93766 18.3385 0
150 12.5024 18.6105 0
151 15.9358 18.3211 0
152 19.4175 18.5722 0
153 22.9451 18.3689 0
154 26.3951 18.5414 0
155 29.8439 18.2398 0
156 33.3517 18.4591 0
157 36.9182 18.7079 0
158 40.5362 18.3842 0
159 43.9982 18.7673 0
160 47.5799 18.464 0
161 51.1491 18.6913 0
162 54.6784 18.3647 0
163 58.2407 18.5932 0
164 61.8851 18.5888 0
165 65.3591 18.7697 0
166 68.9035 18.5273 0
167 72.4989 18.754 0
168 76.0698 18.5065 0
169 79.5049 18.5582 0
170 83.0004 18.3211 0
171 86.5573 18.6403 0
172 90.1309 18.5501 0
173 93.6336 18.9292 0
174 97.1831 18.7124 0
175 100.753 18.8229 0
176 104.292 18.739 0
177 107.705 18.4242 0
178 111.192 18.7217 0
179 114.82 18.4504 0
180 118.301 18.7694 0
181 121.891 18.596 0
182 125.401 18.9114 0
183 128.992 18.6104 0
184 132.498 18.7626 0
185 136.008 18.6816 0
186 139.592 18.8878 0
187 143.045 18.5128 0
188 146.622 18.7432 0
189 150.211 18.4711 0
190 153.74 18.6114 0
191 157.261 18.282 0
192 160.728 18.6365 0
193 -3.69018 21.1697 0
194 -0.109719 21.2465 0
195 3.51468 21.1017 0
196 7.08712 21.3541 0
197 10.5933 21.0989 0
198 14.0909 21.3826 0
199 17.5319 21.0442 0
200 21.0384 21.2793 0
201 24.4991 21.0833 0
202 27.9677 21.3209 0
203 31.434 21.0386 0
204 34.972 21.2408 0
205 38.605 21.3792 0
206 42.0588 21.3329 0
207 45.6506 21.5208 0
208 49.1893 21.2123 0
209 52.864 21.3594 0
210 56.3428 21.0931 0
211 59.8722 21.3237 0
212 63.4886 21.322 0
213 66.9699 21.5196 0
214 70.5523 21.2507 0
215 74.1033 21.4717 0
216 77.6333 21.2731 0
217 81.0445 21.4759 0
218 84.5607 21.1151 0
219 88.0869 21.4945 0
220 91.5803 21.3831 0
221 95.199 21.6419 0
222 98.7853 21.4398 0
223 102.332 21.6622 0
224 105.869 21.5048 0
225 109.24 21.296 0
226 112.822 21.4878 0
227 116.345 21.21 0
228 119.9 21.5145 0
229 123.443 21.4153 0
230 127.031 21.6104 0
231 130.537 21.3477 0
232 134.16 21.5059 0
233 137.706 21.3637 0
234 141.187 21.5942 0
235 144.757 21.2587 0
236 148.331 21.5324 0
237 151.817 21.1621 0
