# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
2000 2496
1 -3.80067 10.4224 0
2 -0.323413 10.5175 0
3 3.26382 10.1692 0
4 6.85011 10.3789 0
5 10.4069 10.1548 0
6 13.9138 10.5891 0
7 17.3147 10.3044 0
8 20.9662 10.4591 0
9 24.4946 10.1869 0
10 27.9802 10.4057 0
11 31.5295 10.115 0
12 35.0334 10.3189 0
13 38.6961 10.5242 0
14 42.2096 10.2781 0
15 45.6838 10.5683 0
16 49.2046 10.258 0
17 52.6961 10.5931 0
18 56.1907 10.3464 0
19 59.7533 10.5863 0
20 63.3479 10.438 0
21 66.9209 10.5452 0
22 70.3203 10.2842 0
23 73.7718 10.6247 0
24 77.363 10.4166 0
25 81.0355 10.5337 0
26 84.5357 10.4808 0
27 88.1394 10.6793 0
28 91.6478 10.4442 0
29 95.2267 10.593 0
30 98.6426 10.2318 0
31 102.157 10.502 0
32 105.697 10.2564 0
33 109.165 9.99483 0
34 112.709 10.2089 0
35 116.252 10.0477 0
36 119.891 10.2473 0
37 123.322 10.4881 0
38 126.809 10.1894 0
39 130.351 10.0404 0
40 133.928 10.2048 0
41 137.5 10.3889 0
42 141.07 10.5217 0
43 144.643 10.183 0
44 148.214 10.3857 0
45 151.78 10.1778 0
46 155.29 10.295 0
47 158.836 10.3987 0
48 162.283 10.5793 0
49 -5.38536 13.1349 0
50 -1.84822 13.3644 0
51 1.61791 12.9971 0
52 5.14471 13.0642 0
53 8.74285 12.9684 0
54 12.2712 13.306 0
55 15.7942 13.1523 0
56 19.3585 13.2639 0
57 22.8127 12.9699 0
58 26.3562 13.1817 0
59 29.8806 12.8438 0
60 33.4058 13.083 0
61 36.9676 13.198 0
62 40.5358 13.0669 0
63 44.0748 13.3153 0
64 47.6242 13.1067 0
65 51.1613 13.3823 0
66 54.6571 13.0871 0
67 58.2112 13.3369 0
68 61.687 13.0665 0
69 65.333 13.2812 0
70 68.7744 13.1409 0
71 72.2087 13.4211 0
72 75.7906 13.1689 0
73 79.3388 13.31 0
74 82.959 13.2274 0
75 86.5908 13.4714 0
76 90.0781 13.1335 0
77 93.6844 13.3167 0
78 97.221 13.1067 0
79 100.662 13.3556 0
80 104.07 13.0125 0
81 107.589 12.7467 0
82 111.143 13.009 0
83 114.662 12.7774 0
84 118.226 12.9449 0
85 121.743 13.2625 0
